"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "I1" "I2" "I3" "I4"
4.28 3.775 4.475 4.447 4.134 4.601 3.795 4.134 1.971 3.963 0.938 1.032 2.23 2.075
2.28 1.919 2.344 1.799 2.82 1.956 1.343 1.978 1.204 1.461 0.917 0.929 2.058 2.091
0.866 2.275 1.378 2.708 1.443 2.692 1.087 1.718 1.241 1.359 0.86 1.087 1.971 2.013
1.951 2.755 2.022 2.87 2.712 3.101 1.324 2.858 1.556 2.62 1.043 1.036 2.221 1.975
2.13 2.241 1.834 2.355 2.172 1.988 1.762 3.088 2.043 3.071 1.022 1.103 2.147 2.079
2.201 2.206 2.421 2.354 2.67 2.146 1.514 1.734 0.491 2.34 0.933 0.957 1.959 2.077
2.592 3.499 2.48 3.351 2.913 2.873 2.674 3.684 2.109 3.209 1.131 1.089 1.993 1.971
3.031 2.936 3.001 3.116 2.252 3.041 2.288 3.055 1.843 2.815 0.967 0.996 2.014 2.098
2.339 2.69 2.33 2.325 1.772 2.526 1.632 3.473 2.48 2.787 0.901 1.221 2.017 2.014
2.044 2.241 2.068 2.199 1.836 2.101 1.869 1.906 2.656 2.043 0.873 0.977 1.929 2.016
3.469 2.898 3.042 2.714 1.626 2.837 3.195 2.854 2.483 2.971 0.888 0.902 1.839 2.139
2.655 2.331 3.289 2.43 2.051 2.347 3.105 3.387 3.571 3.122 1.031 1.142 1.915 2.059
3.173 2.84 3.014 2.374 3.512 1.515 2.482 1.884 1.213 1.815 0.88 0.974 1.917 2.217
2.613 2.908 3.048 3.256 2.269 3.262 3.187 2.825 2.748 3.8 1.145 1.044 1.991 2.014
3.523 3.77 4.112 3.611 3.448 3.787 2.963 3.364 2.482 2.736 1.039 1.025 1.945 1.871
2.379 2.174 2.749 2.044 2.171 1.973 3.073 2.186 2.187 2.355 1.102 0.997 1.97 1.782
2.677 3.811 3.327 3.284 3.333 3.457 3.894 3.443 3.75 3.939 1.118 0.957 1.874 1.969
4.158 3.519 3.45 3.816 3.45 3.591 3.921 3.467 3.023 2.425 0.883 1.053 2.109 1.89
2.102 2.538 2.034 1.602 2.325 1.848 2.122 2.132 1.541 2.165 0.95 1.06 2.067 2.022
2.081 2.892 2.129 3.006 2.285 3.692 3.309 3.262 4.015 2.744 0.963 0.99 1.895 1.911
2.763 2.592 2.374 2.999 2.412 2.952 3.581 3.681 2.465 3.197 0.975 1.185 1.92 2.075
2.933 2.068 2.408 2.688 2.659 2.516 2.074 2.634 3.334 1.611 1.064 0.998 1.694 2.001
2.329 3.611 2.644 2.991 2.02 2.782 2.956 2.758 2.332 2.276 1.1 1.062 1.903 2.109
3.346 3.21 4.633 3.983 3.856 3.865 2.8 4.46 2.195 4.174 1.056 0.976 1.924 2.077
3.001 3.056 3.592 2.56 3.111 1.79 2.919 2.801 4.131 2.3 1.013 0.944 2.146 1.958
2.809 2.535 3.337 2.287 2.733 1.957 2.463 1.742 2.294 1.933 0.996 1.018 2.27 2.125
2.718 2.497 3.583 2.478 2.968 2.629 3.169 3.164 2.504 2.403 0.881 0.957 2.116 2.056
2.781 3.073 2.561 2.987 2.842 2.379 3.252 2.321 3.667 2.924 0.99 1.148 2.073 2.099
3.115 2.284 1.942 1.873 2.892 1.978 1.799 2.251 2.09 1.824 1.257 1.186 1.958 1.914
0.707 2.204 2.045 2.185 2.196 2.249 2.732 2.594 3.381 1.875 1.242 0.813 1.816 1.96
3.278 3.69 3.709 4.323 3.402 4.019 3.96 3.97 3.903 2.559 1.049 0.887 1.933 2.053
2.238 2.864 3.641 2.933 3.115 3.016 3.326 3.176 3.418 1.837 1.181 1.099 1.809 1.943
1.128 2.177 2.546 1.795 2.793 1.949 2.595 2.687 1.872 3.507 1.043 0.952 2.047 2.029
3.26 4.055 3.228 3.143 2.681 2.695 1.84 2.102 2.524 3.334 1.048 1.137 1.964 2.087
3.087 3.004 3.376 3.139 3.286 3.284 2.806 3.282 2.92 2.283 0.879 1.104 1.998 1.904
3.344 4.302 3.236 4.24 3.212 3.544 2.526 2.194 1.84 2.522 1.052 0.981 1.903 1.884
1.951 2.116 2.808 2.465 4.087 2.828 3.296 3.238 2.963 3.402 1.037 0.805 1.799 1.903
2.926 3.089 3.046 2.943 2.402 2.141 0.484 2.063 0.97 2.085 1.024 1.077 2.223 1.921
3.186 3.843 4.147 4.275 3.933 3.935 3.337 3.839 2.112 4.458 0.85 0.976 2.016 1.789
3.323 3.443 2.699 3.135 2.998 2.462 2.673 2.86 2.914 2.54 1.034 0.932 1.931 1.872
3.679 3.182 3.056 2.254 2.07 1.689 1.909 1.139 2.468 1.187 0.887 1.037 2.095 1.768
1.968 3.301 2.776 3.376 3.015 2.938 3.025 2.28 2.789 2.768 0.947 1.068 2.11 2.015
3.007 2.457 2.891 2.029 3.065 1.913 3.069 2.957 3.79 3.417 0.948 0.916 1.877 2.195
3.769 2.274 4.356 2.62 4.698 2.723 2.448 3.45 2.844 3.819 1.093 0.9 1.894 1.962
2.405 2.437 3.125 2.633 3.355 2.922 2.669 2.714 2.844 2.184 1.173 0.831 2.01 2.128
2.834 3.477 3.988 3.615 3.577 3.606 3.463 2.85 3.708 2.504 1.075 0.928 2.17 2.164
2.374 2.922 3.707 2.702 3.598 2.704 3.075 2.494 2.146 3.669 0.963 0.941 2.085 2.068
2.114 3.263 1.097 3.727 2.19 3.649 2.926 3.797 2.717 4.357 0.976 0.997 2.116 2.004
2.539 2.205 3.066 1.906 1.793 1.387 2.17 1.853 2.182 2.256 1.09 0.869 1.947 2.074
4.135 3.741 3.126 3.889 2.894 3.601 3.36 3.07 1.582 2.703 0.978 1.001 1.827 2.083
3.885 2.559 3.627 2.41 3.024 1.504 3.007 1.926 2.297 2.054 0.961 1.111 2.106 2.04
3.022 2.301 1.24 2.745 2.478 2.661 2.055 3.108 0.95 2.162 0.887 1.133 2.056 2.02
3.455 3.448 3.659 3.295 2.539 3.849 4.462 3.875 4.7 4.478 0.856 0.987 2.006 2.015
2.525 3.067 1.795 3.36 2.363 2.466 1.797 1.051 1.92 1.431 1.068 0.969 2.057 2.06
2.405 2.615 2.784 1.535 2.246 1.372 0.861 1.162 0.917 1.191 1.005 1.048 2.053 1.907
3.455 2.279 3.107 2.794 2.818 2.986 2.832 3.277 4.035 4.031 1.008 1.029 1.906 1.97
3.038 2.474 3.478 2.202 3.009 2.641 3.552 2.557 4.422 2.407 0.988 0.956 2.047 1.923
1.993 3.807 2.628 3.105 2.112 3.095 2.715 2.458 2.605 3 1.073 0.927 2.111 1.826
3.504 2.854 4.297 3.083 3.637 3.952 3.717 4.55 5.187 4.564 1.085 1.116 2.029 2.026
3.766 2.932 4.192 3.219 3.642 3.506 3.32 4.21 4.436 3.263 0.878 1.041 2.256 1.906
2.182 3.274 1.977 3.609 2.81 3.919 2.438 3.824 3.419 3.358 0.989 0.978 2.123 2.163
1.905 2.4 3.272 2.373 2.987 1.432 2.403 2.392 1.663 2.185 0.932 1.006 2.013 1.976
2.989 3.078 3.299 3.06 2.85 3.282 2.675 2.534 2.108 3.12 1.049 0.7 1.829 1.936
3.4 3.949 3.245 4.2 2.699 4.305 2.058 4.037 2.564 3.885 1.125 0.911 1.843 2.063
2.422 2.752 2.544 2.983 2.531 2.981 2.13 3.51 2.679 3.273 1.128 0.924 2.044 1.929
4.041 4.007 4.173 3.516 3.564 3.742 2.122 2.52 2.667 2.492 0.864 1.164 1.993 1.977
3.598 3.268 1.79 2.554 3.186 2.959 4.423 2.825 4.225 1.964 0.997 0.974 2.031 1.824
1.184 2.11 1.339 1.757 1.071 1.727 1.092 1.668 2.6 1.721 0.889 0.947 2.122 1.963
3.049 2.787 2.761 2.254 1.798 2.935 3.784 3.635 3.014 3.885 1.102 1.091 1.877 2.107
2.509 2.302 3.251 1.882 2.535 1.831 2.13 1.743 2.502 2.759 1.041 1.042 2.031 2.169
2.999 3.397 3.508 3.904 3.835 3.797 4.061 3.179 3.157 3.722 0.946 1.004 2.106 1.965
2.205 3.571 2.396 3.709 1.773 3.612 3.554 3.626 3.983 3.378 1.139 1.247 1.969 2.078
2.945 3.94 3.187 4.128 4.178 3.668 2.657 4.228 3.501 4.053 0.873 1.208 2.11 2.037
1.928 2.33 2.926 1.99 2.797 1.35 3.042 1.728 1.524 2.823 1.092 1.074 1.787 2.062
3.027 2.814 2.696 3.161 3.264 2.918 2.402 2.685 2.901 2.73 0.931 0.957 1.944 2.139
1.853 2.57 2.352 2.941 2.38 3.156 3.178 3.88 4.248 4.848 1.173 1.019 2.114 2.066
3.176 2.473 3.549 2.415 3.913 2.684 3.356 3.842 3.47 3.365 1.092 0.946 1.931 1.924
3.214 4.02 2.802 3.776 3.728 3.372 3.459 3.494 3.169 3.881 0.895 0.788 2.042 1.954
1.833 2.121 1.612 1.851 0.948 1.863 3.011 2.083 1.595 1.962 0.999 0.984 2.137 2.037
1.4 1.529 2.492 1.703 2.468 1.607 1.201 1.548 1.454 1.489 1.069 0.965 1.822 2.049
3.049 3.486 3.487 2.898 4.5 3.701 5.18 3.521 4.892 3.617 1.034 1.024 2.042 1.86
2.334 3.121 2.146 3.843 3.491 4.083 3.632 4.076 3.447 4.684 1.093 1.052 1.791 1.851
2.065 2.306 2.413 2.282 1.85 2.401 3.032 3.404 3.759 2.538 0.917 1.111 1.808 1.993
3.465 4.574 4.059 4.369 3.615 4.288 3.786 3.537 2.592 3.201 1.034 0.913 1.931 2.104
1.205 2.462 1.776 1.678 1.543 2.299 2.755 2.436 1.702 2.033 1.002 1 1.913 2.034
4.887 3.987 3.714 3.601 3.19 3.64 2.791 3.045 2.64 3.058 0.954 1.041 1.972 1.873
3.459 1.985 3.939 2.579 3.181 2.77 2.173 2.253 1.844 2.811 1.218 0.96 1.949 1.925
2.58 1.676 2.385 1.504 2.502 1.779 1.988 2.056 2.998 1.472 0.917 0.888 2.088 1.794
2.664 4.704 2.976 4.935 2.219 4.337 2.562 4.437 3.906 4.108 1.009 0.952 2.044 1.864
3.252 2.797 2.094 2.224 2.946 1.464 2.607 1.804 2.089 1.624 0.984 0.956 2.086 2.022
3.166 3.492 3.362 3.599 3.294 3.723 2.773 3.901 3.674 3.555 1.049 0.982 1.909 2.058
2.521 2.812 3.133 2.711 2.981 2.942 1.187 2.607 1.526 3.218 0.823 0.932 2.051 2.108
1.688 2.607 2.129 2.923 2.563 2.589 1.961 2.356 2.157 1.163 1.074 0.934 2.072 1.776
3.302 3.733 2.703 3.858 2.536 4.459 3.223 4.237 3.958 3.356 0.956 1.012 1.98 2.02
1.99 3.133 2.148 3.379 2.387 3.176 1.474 2.697 2.606 3.024 1.011 0.982 2.133 1.932
1.927 3.027 2.326 3.252 2.835 3.082 3.478 2.963 2.941 2.988 1.083 0.824 1.995 2.037
3.069 3.461 3.499 3.443 3.318 3.365 3.695 3.59 2.871 3.487 0.974 1.143 2.074 2.028
1.302 2.386 0.715 2.501 1.861 3.278 0.906 2.739 1.672 2.516 0.925 0.994 1.938 1.973
2.126 1.568 1.265 1.578 0.872 1.105 1.361 1.329 0.819 1.177 1.126 1.056 2.059 1.923
2.331 1.561 2.829 1.387 1.756 2.036 1.48 2.224 1.694 2.664 0.913 0.943 1.954 1.953
3.131 3.865 3.069 4.172 2.796 3.629 1.985 3.175 3.295 3.215 1.079 0.934 2.021 1.77
3.935 4.019 3.104 3.201 3.792 4.033 3.863 3.526 3.329 3.571 0.96 1.006 1.882 2.01
2.705 2.817 2.341 2.529 2.718 2.456 2.899 2.84 2.333 2.657 1.125 1.184 2.141 1.781
2.606 3.442 2.557 2.626 3.659 2.067 3.569 1.939 3.087 2.485 0.948 1.032 1.887 2.238
2.175 1.967 2.639 1.75 2.67 2.255 3.298 3.187 2.281 2.728 1.019 1.128 2.086 2.007
3.43 4.443 3.963 4.679 3.376 4.65 3.88 5.128 2.932 5.279 0.918 0.904 2.163 1.982
2.665 3.001 1.946 2.562 2.253 2.32 2.131 2.295 2.607 3.191 0.851 0.924 2.081 1.776
2.15 2.269 2.676 2.983 2.657 3.303 0.866 3.9 2.746 3.511 1.086 0.928 1.946 1.867
1.495 2.853 1.761 2.783 2.207 2.684 2.831 2.524 2.221 2.19 1.098 1.183 1.99 1.833
2.497 2.851 3.025 3.071 2.432 3.317 2.234 3.846 1.841 3.134 1.051 0.95 1.93 1.779
2.825 2.497 2.161 2.753 1.576 2.861 0.983 2.26 0.968 1.919 1.161 0.923 1.967 2.139
4.461 2.837 4.312 2.683 3.052 2.525 3.347 2.245 3.331 2.274 0.948 0.978 1.888 1.988
3.282 2.645 1.926 3.134 2.722 2.532 1.914 2.67 2.926 2.65 1.011 0.998 1.985 2.03
2.688 2.492 3.233 2.039 4 1.88 1.888 2.316 2.365 2.59 0.804 1.062 1.919 2.095
1.979 2.41 1.968 2.479 1.911 2.031 1.032 1.232 1.675 1.432 0.894 1.128 1.921 2.071
1.11 1.445 2.284 1.774 2.342 1.421 1.776 2.005 1.771 2.297 0.804 0.925 2.189 1.872
2.525 3.62 3.128 3.171 3.235 3.117 3.58 3.558 2.745 3.085 1.002 0.941 2.041 2.065
4.067 2.953 2.596 2.875 2.786 2.182 2.934 3.451 2.604 3.75 1.156 1.104 2.05 2.064
2.764 3.753 2.687 3.62 2.468 3.887 2.539 4.194 2.527 3.167 0.979 1.047 1.952 2.104
2.24 2.893 3.092 2.949 3.2 2.002 3.147 2.692 2.728 1.041 0.996 0.805 1.824 1.935
2.491 2.23 2.265 2.166 1.936 2.463 1.449 2.635 1.962 2.809 0.995 1.016 1.943 2.064
1.393 2.428 1.979 1.342 1.724 2.061 2.768 2.631 3.614 2.347 0.926 0.926 1.995 1.776
2.825 1.841 2.457 1.945 2.779 1.913 3.808 2.644 2.534 1.961 1.029 1.08 1.918 1.809
1.322 2.507 0.864 2.515 2.485 2.958 2.196 2.68 1.82 2.239 1.142 0.9 1.93 2.041
2.511 3.026 3.185 2.583 3.463 2.043 2.909 3.532 3.939 3.683 1.043 0.969 2.115 1.831
2.192 2.4 1.901 1.995 1.781 2.188 1.617 2.175 3.598 1.974 1.154 0.972 2.019 1.916
1.691 1.933 2.917 1.723 3.241 1.537 2.21 1.739 1.923 1.844 0.829 1.027 1.997 1.983
0.168 1.888 1.684 2.526 1.282 2.076 1.058 1.819 2.245 1.816 1.019 1.119 2.303 2.084
1.766 1.877 0.886 1.504 0.853 1.372 2.85 1.436 1.841 1.44 1.006 0.996 1.869 1.903
3.679 4.044 3.919 4.222 3.18 4.227 3.508 4.508 3.386 4.003 1.167 0.877 1.998 2.142
2.729 3.57 3.52 3.972 3.604 3.766 3.396 3.485 2.739 3.326 1.089 0.795 1.884 2.072
1.556 2.327 2.321 2.445 1.961 2.208 1.8 1.408 1.759 0.913 1.03 0.936 1.967 1.905
1.649 2.508 1.666 2.632 1.661 2.883 2.161 2 1.707 1.669 0.926 1.187 1.945 2.084
1.677 2.748 2.013 2.09 2.911 2.731 3.546 2.673 3.32 2.832 1.105 0.882 2.103 1.971
1.37 4.074 2.215 4.528 3.561 4.227 4.255 3.41 2.778 2.426 1.022 0.901 2.022 2.133
3.364 3.162 3.719 3.513 2.993 4.019 2.606 4.688 2.772 3.82 0.94 0.964 1.998 1.898
2.236 2.887 2.984 2.549 2.631 3.163 2.079 3.663 2.543 3.721 0.885 0.954 1.957 2.086
3.275 2.315 3.865 2.529 4.241 2.481 4.077 2.635 3.497 3.634 1.014 0.868 1.856 2.116
2.193 3.119 2.105 3.362 2.992 3.038 2.943 3.704 2.745 2.741 0.945 0.964 1.945 1.772
2.488 2.521 1.485 2.397 1.052 2.128 1.229 2.308 0.164 2.604 0.75 0.919 1.957 2.012
2.747 2.142 2.404 2.338 1.964 2.429 3.65 2.181 3.307 2.856 0.971 0.907 2.142 2.134
1.099 2.061 2.301 2.424 1.639 3.247 2.199 3.18 2.498 3.51 1.004 0.848 1.951 1.823
3.245 3.657 3.596 3.993 3.451 4.144 3.497 3.987 2.867 4.031 1.013 0.92 2.02 2.002
1.761 1.841 1.895 1.885 1.509 1.634 1.665 1.299 1.947 1.172 0.858 0.938 2.247 2.108
1.465 1.908 2.233 2.289 2.549 2.277 4.183 2.184 3.484 2.563 0.86 0.979 1.931 2.037
1.892 2.01 1.882 2.465 1.427 2.245 2.279 2.855 2.008 2.63 0.93 0.932 1.941 2.052
3.089 3.508 3.479 4.02 3.257 3.855 2.976 3.923 3.368 3.631 1.048 1.191 2.039 1.957
3.489 3.191 2.767 3.016 2.749 3.135 3.025 3.622 3.204 3.667 0.977 0.929 2.111 1.988
2.852 3.259 3.537 3.232 3.705 4.278 3.049 4.074 3.701 3.66 0.994 1.048 1.876 2.125
1.665 1.677 2.07 1.88 1.48 1.577 1.47 2.433 1.503 2.302 0.991 0.96 2.143 1.939
2.267 1.184 1.982 1.664 0.999 1.554 1.597 1.64 1.734 1.996 1.007 0.997 2.12 1.997
3.115 3.007 2.705 3.17 3.373 2.937 3.345 2.767 2.598 2.367 1.016 0.739 2.172 2.032
1.707 3.094 2.286 2.719 1.285 3.372 1.91 4.15 4.009 4.253 1.035 0.999 2.043 2.082
1.506 2.166 2.102 2.629 2.215 2.811 2.123 3.564 2.214 3.23 1.095 1.09 1.98 2.018
1.794 1.883 1.784 1.67 2.074 2.266 2.418 2.855 1.344 2.285 0.777 0.914 2.092 2.125
2.143 3.549 3.825 3.809 2.936 3.987 2.858 3.618 2.86 3.435 0.922 0.677 1.863 2.061
3.64 2.752 4.269 3.094 3.599 3.825 3.262 2.934 4.267 2.633 0.993 0.985 1.849 2.028
2.214 2.135 2.102 2.025 1.713 1.705 2.575 2.236 1.632 1.549 1.126 0.964 2.009 1.969
2.378 3.33 2.118 3.034 2.029 3.423 3.335 3.591 2.405 2.891 0.99 1.014 2.116 1.998
2.833 3.271 3.159 2.862 3.242 2.885 3.11 2.241 2.698 2.707 0.913 1.032 1.991 2.149
1.999 2.647 2.913 2.202 2.782 2.054 2.911 2.372 3.207 2.215 1.004 1.02 1.899 1.998
3.156 2.636 2.991 2.739 3.528 2.425 3.062 1.922 1.967 2.364 1.081 0.782 1.926 2.118
2.535 2.827 2.025 2.581 2.607 2.342 3.056 2.859 2.999 3.102 1.148 0.862 2.117 1.93
1.61 3.03 1.813 3.181 0.381 2.86 0.403 1.884 1.63 2.031 1.015 0.929 2.03 2.115
1.443 1.938 0.974 2.254 0.905 2.428 1.9 2.342 2.197 1.53 1.146 1.174 2.126 2.038
2.548 3.439 3.047 3.533 3.249 3.089 2.687 3.741 3.075 3.444 0.95 1.076 1.909 2.13
3.839 3.676 3.284 3.903 4.491 3.377 3.698 2.754 1.969 2.777 1.003 0.999 1.905 1.771
2.022 3.666 3.233 2.944 4.055 2.896 3.061 3.032 2.894 3.232 0.954 1.126 1.967 1.965
1.263 2.381 1.289 2.058 1.943 1.762 2.343 2.607 2.668 2.205 0.965 1.027 2.184 1.999
3.394 2.962 3.764 3.094 3.082 3.335 3.227 2.678 3.659 2.342 1.139 1.145 1.994 1.862
1.945 2.68 2.51 2.859 2.647 3.173 2.16 3.544 1.022 2.311 0.826 0.982 1.946 1.965
2.961 2.838 2.725 2.776 2.346 2.405 2.55 2.196 2.725 1.824 1.038 1.058 1.906 2.059
0.924 2.707 0.772 2.138 2.011 2.542 2.241 3.072 2.169 3.094 1.07 1.121 2.108 2.034
2.587 4.359 3.613 4.255 3.51 4.194 3.126 3.66 1.144 2.9 0.926 1.097 1.938 1.834
2.984 2.533 2.556 2.545 2.328 2.045 1.63 1.416 2.111 2.362 0.986 1.016 1.975 2.105
2.081 3.07 2.479 2.988 1.292 2.839 2.661 2.881 3.06 2.793 1.033 0.967 1.948 1.897
3.338 3.355 3.404 3.846 3.006 4.806 2.808 4.92 3.453 4.109 0.92 0.983 1.964 1.884
3.172 2.559 3.713 3.323 2.802 2.559 1.835 2.422 1.985 2.79 0.914 0.94 2.003 2.044
1.54 0.596 1.484 1.376 2.375 1.631 1.673 2.426 2.827 1.73 1.116 0.876 2.09 1.737
2.313 1.38 2.599 1.4 1.852 2.265 1.682 2.441 2.762 2.159 0.932 0.897 1.897 1.869
2.384 3.027 1.904 2.889 1.549 2.83 1.679 2.572 2.058 2.148 0.954 0.979 2.103 2.06
4.201 3.487 4.037 3.434 2.887 3.525 3.104 4.593 2.953 4.364 0.92 0.847 1.953 2.018
2.013 3.109 1.861 2.909 2.404 2.311 2.975 2.193 1.91 1.665 0.937 1.062 2.062 2.015
4.349 4.229 3.49 4.13 3.47 3.258 3.471 3.111 3.591 3.005 1.057 1.154 2.231 1.95
2.958 3.072 2.158 2.862 1.318 2.331 2.236 1.968 0.706 2.044 0.991 0.899 1.975 2.042
2.194 2.915 1.847 3.347 3.168 3.547 3.399 3.99 3.212 3.94 1.116 1.071 2.075 2.045
2.53 2.042 2.826 2.319 3.914 2.229 3.111 2.378 2.191 2.453 0.943 1.069 2.158 2.021
3.34 3.3 2.403 3.582 2.916 3.489 3.004 3.457 2.702 3.483 0.709 0.964 2.028 2.03
1.873 3.372 2.419 3.027 3.362 2.654 2.922 3.104 3.156 2.819 0.878 1.027 1.828 1.785
1.725 3.14 1.894 3.069 2.547 3.142 2.853 3.278 2.975 3.418 1.13 1.086 2.042 2.047
1.686 2.722 2.865 2.33 2.302 1.947 1.366 3.232 2.767 3.245 1.101 1.095 1.872 2.046
3.499 3.149 3.69 3.448 2.828 3.198 3.136 2.501 2.886 3.029 1.145 1.057 2.04 1.988
1.624 2.795 1.753 2.764 1.577 2.438 1.396 2.534 1.108 2.564 0.972 1.093 1.946 2.077
1.784 2.435 1.805 2.726 2.698 2.667 1.756 3.211 1.544 2.819 1.149 1.003 1.955 1.951
2.754 3.725 3.015 3.867 3.641 3.804 2.545 3.787 2.761 3.351 0.898 0.962 1.849 2.017
3.32 3.942 4.238 3.877 3.173 3.802 3.236 4.132 2.803 3.763 1.101 1.043 1.902 1.984
2.103 2.162 2.741 1.704 2.997 2.025 2.328 1.924 2.564 2.806 0.937 1.077 2.01 2.081
3.143 2.15 2.624 2.58 2.767 3.1 2.03 2.894 1.722 2.327 0.972 1.01 1.904 2.065
3.031 2.443 1.749 2.379 2.642 2.034 3.939 2.382 2.467 1.99 1.035 0.895 2.211 2.138
1.741 3.373 1.818 3.537 1.486 3.01 1.485 2.717 3.247 2.72 0.864 0.963 1.882 2.027
3.385 3.542 3.29 3.28 3.125 3.545 2.49 3.239 1.661 3.049 1.081 1.086 2.231 1.901
2.87 4.126 2.897 4.028 3.116 3.926 3.001 2.843 2.436 2.639 1.019 1.107 2.045 1.934
3.042 2.575 1.661 2.713 1.392 3.205 3.837 3.598 4.266 3.107 1.006 0.846 2.028 1.743
2.606 2.151 2.121 2.477 1.839 2.715 2.405 2.602 2.764 2.845 1.083 0.953 2.073 1.859
2.432 1.716 2.622 1.515 2.916 1.305 4.101 2.259 1.775 2.367 0.97 0.996 2.112 2.161
0.06 2.233 0.223 2.03 1.371 2.037 1.626 2.315 2.681 1.58 1.193 1.054 2.034 2.054
2.038 2.417 1.652 2.996 1.309 3.103 2.161 2.985 3.495 3.052 1.11 0.884 1.801 1.859
2.218 3.74 2.462 3.961 3.35 3.658 2.908 3.354 1.697 3.783 0.752 1.202 2.168 2.009
1.882 1.624 1.617 1.442 1.616 1.402 -0.035 1.631 0.489 1.729 0.986 1.048 1.929 2.002
1.995 3.287 2.436 3.401 2.534 2.63 2.687 3.456 2.666 3.412 0.935 1.123 1.944 1.93
2.411 2.732 2.609 2.456 2.066 2.156 2.338 2.939 3.862 3 1.025 0.965 2.107 2.054
1.288 2.995 1.59 2.91 2.447 3.053 2.629 2.908 2.181 3.345 0.954 0.968 1.872 1.914
2.02 2.164 2.45 2.526 2.558 3.125 2.633 3.08 2.292 3.347 1.108 1.056 2.137 2.207
2.424 3.618 2.23 3.415 1.894 2.66 2.845 2.173 3.44 2.561 1.006 1.137 2.04 1.97
2.435 3.322 2.546 3.402 3.056 3.372 3.494 2.812 3.953 3.092 1.155 1.079 1.93 2.008
2.164 3.321 1.725 3.532 2.34 4.358 3.926 3.891 2.926 3.869 1.021 0.952 2.052 2.019
2.528 3.597 2.264 4.142 3.476 3.487 2.868 2.798 2.752 2.887 1.04 1.024 2.004 1.918
2.907 3.67 3.157 4.034 3.087 3.553 2.462 3.164 2.016 2.719 1.033 1.053 2.119 1.86
3.074 2.478 2.814 2.423 2.825 2.359 3.266 2.576 2.798 2.158 1.098 0.989 1.982 1.871
3.724 3.568 4.55 4.11 3.766 3.44 3.672 3.93 2.825 4.31 1.038 1.114 1.856 2.044
2.033 2.074 2.523 2.264 1.613 2.053 1.933 1.947 2.869 2.348 0.974 1.143 2.064 1.998
4.688 4.013 4.363 4.14 3.636 3.921 4.12 3.777 2.915 3.793 1.047 0.979 1.88 1.927
2.908 3.61 3.305 3.765 3.123 3.396 3.891 3.412 2.648 3.135 0.957 1.136 2.148 2.028
1.409 2.217 0.678 2.596 0.573 2.425 0.661 1.452 1.307 2.211 1.192 0.905 1.887 1.892
3.033 3.414 1.932 3.325 2.429 3.097 2.015 2.518 3.425 2.892 0.925 0.93 1.856 1.888
3.365 3.071 3.243 2.727 3.966 3.945 4.523 3.898 4.448 4.109 0.985 1.169 1.776 1.897
2.848 2.955 2.857 2.244 3.265 2.734 3.311 1.943 2.19 2.304 0.807 0.954 1.99 1.935
3.767 3.347 2.636 4.077 2.826 3.597 2.546 3.553 3.703 2.752 0.942 0.943 2.158 2
2.528 2.992 2.706 2.596 1.104 2.635 2.329 2.884 1.478 2.394 1.018 1.106 2.207 1.936
2.1 2.029 2.691 1.737 1.912 1.83 1.311 2.786 1.874 2.754 0.894 1.172 2.265 1.962
1.269 3.257 0.801 3.066 1.494 3.122 1.485 3.084 1.718 2.211 0.915 1.095 2.135 2.148
3.07 3.219 2.869 2.754 2.433 2.684 1.62 2.641 2.449 2.332 1.009 0.758 2.008 2.051
2.004 4.013 2.357 4.221 2.673 3.915 3.61 4.073 3.947 3.79 1.018 1.096 1.97 1.829
3.234 3.725 3.168 3.548 3.124 2.661 3.145 1.978 2.97 1.912 1.079 1.049 1.915 1.932
1.847 2.344 1.758 1.692 2.091 1.702 2.772 1.482 1.395 1.57 0.96 1.052 2.098 2.141
3.137 2.618 2.316 1.865 2.596 1.69 2.305 2.027 2.171 2.518 1.026 1.054 2.025 1.903
2.74 3.381 1.855 3.609 2.41 3.774 3.321 3.319 4.372 3.572 0.942 0.841 2.065 1.938
1.588 2.575 1.787 2.369 2.521 2.925 3.262 3.619 3.172 3.202 0.921 0.997 1.868 2.135
2.153 2.813 1.68 2.357 1.68 2.63 2.81 1.678 2.918 1.687 1.197 1.09 2.038 1.843
2.621 3.687 2.239 3.669 2.445 3.787 2.926 3.403 1.603 2.835 0.936 0.882 1.98 1.99
0.853 2.115 1.55 2.035 1.635 1.995 1.255 1.934 1.743 2.368 0.941 0.829 2.027 1.98
2.837 2.504 1.338 2.644 1.661 2.97 2.584 3.085 3.565 2.883 1.13 0.975 2.024 1.847
1.077 2.34 2.236 2.498 2.399 2.467 2.599 3.27 4.367 3.675 0.965 0.99 1.997 1.961
3.729 2.764 2.509 2.984 2.914 3.296 1.217 2.766 1.352 3.291 0.982 0.951 2.011 2.022
3.576 2.858 2.913 1.972 2.565 1.782 3.552 1.816 3.123 2.181 0.937 0.955 1.953 2.058
1.794 2.874 3.091 3.233 1.626 2.572 1.754 3.161 2.143 2.837 0.984 0.977 1.901 1.943
3.077 2.784 2.938 3.149 2.641 3.462 2.244 2.91 1.949 2.633 0.984 1.035 2.188 2.094
1.361 2.168 2.574 1.651 1.552 1.838 0.858 1.588 1.653 1.421 0.956 0.881 2.018 2.012
2.228 2.779 2.435 2.309 2.204 1.827 2.113 2.323 2.613 2.155 0.848 0.967 1.862 2.068
