Twin1 Twin2 Father Mother zyg
-1.108 -2.083 -0.441 NA mz
1.697 1.465 NA 0.274 mz
-0.623 -1.456 NA -0.555 mz
-0.441 0.312 -0.333 0.819 mz
1.738 NA NA NA mz
NA 0.947 NA NA mz
1.544 1.483 NA NA mz
0.604 0.247 0.847 0.66 mz
-0.546 NA NA -1.967 mz
-1.41 -0.503 NA -1.057 mz
-0.805 -1.979 -0.567 -0.733 mz
0.387 0.75 NA NA mz
0.799 -0.251 -0.93 NA mz
-0.152 -0.634 NA NA mz
0.769 -0.209 -0.038 0.158 mz
0.426 0.123 NA NA mz
NA 0.463 NA NA mz
0.435 -1.3 1.533 0.042 mz
-0.798 -0.533 -0.067 -1.245 mz
-1.511 -1.504 0.048 0.094 mz
NA -0.799 NA NA mz
NA -0.067 NA NA mz
-0.699 -0.313 NA NA mz
1.642 NA NA NA mz
1.11 -0.026 -1.377 -2.295 mz
1.048 1.61 NA NA mz
0.053 0.311 -0.655 1.534 mz
-0.112 -0.304 -0.664 0.003 mz
0.641 1.232 NA -0.903 mz
-1.19 -0.477 0.236 -0.497 mz
1.298 0.766 3.088 -0.632 mz
-0.222 -0.577 -0.126 -0.782 mz
-1.777 -1.792 NA NA mz
1.373 1.523 0.821 -0.217 mz
NA 1.215 NA NA mz
0.472 0.615 1.567 -0.279 mz
1.498 1.574 NA NA mz
0.356 1.017 NA -0.692 mz
-0.25 0.768 -1.071 0.818 mz
0.662 1.657 NA NA mz
-0.659 -0.537 NA NA mz
-0.451 0.461 0.679 -0.769 mz
0.898 NA NA NA mz
-0.541 -0.81 0.695 1.45 mz
0.29 -0.138 NA -1.199 mz
-0.205 -0.144 0.822 -0.157 mz
-0.568 -1.314 -0.769 0.058 mz
1.365 1.352 NA -0.148 mz
-0.434 NA NA NA mz
-0.864 0.204 NA NA mz
-1.315 -1.773 NA NA mz
0.451 0.236 NA 0.789 mz
1.26 NA NA NA mz
1.564 1.287 0.214 -0.173 mz
-1.403 -1.69 NA 0.48 mz
0.641 -0.406 NA NA mz
-0.686 0.736 0.547 1.312 mz
0.094 -0.098 0.79 1.466 mz
1.658 0.961 -0.447 0.949 mz
NA -1.917 NA NA mz
-0.454 -0.104 0.131 1.408 mz
NA 1.427 NA NA mz
-0.826 0.377 NA NA mz
-0.551 -0.766 1.675 0.076 mz
-0.947 -1.313 NA -1.584 mz
0.407 0.657 -0.129 -0.701 mz
-1.378 -1.146 0.361 NA mz
0.503 0.026 NA NA mz
0.883 0.793 NA NA mz
0.512 0.268 -1.741 0.475 mz
-0.385 -0.517 NA NA mz
-1.583 -1.277 -0.911 -0.804 mz
0.183 -0.357 NA -0.081 mz
1.014 1.734 0.806 NA mz
0.619 1.959 NA NA mz
1.449 -0.249 2.186 0.384 mz
0.688 -0.45 NA NA mz
0.731 1.178 NA NA mz
0.821 1.131 NA NA mz
-1.386 -1.627 NA NA mz
-0.145 0.915 NA NA mz
2.293 0.7 0.578 2.48 mz
NA 0.326 NA NA mz
1.181 0.342 NA NA mz
0.65 -0.384 NA NA mz
-1.261 -1.039 -1.242 -1.062 mz
-0.517 -0.822 NA NA mz
-0.434 -0.377 NA -0.932 mz
-0.281 -0.055 NA -0.619 mz
-0.718 -0.438 -3.03 -1.806 mz
-0.38 -0.057 NA NA mz
0.449 -0.534 0.69 NA mz
-0.569 -1.774 -0.064 0.519 mz
1.188 NA NA NA mz
-0.547 0.132 NA NA mz
-0.457 -0.619 NA -1.301 mz
-0.793 -0.477 NA -0.601 mz
-0.865 -0.415 NA NA mz
-0.172 0.165 NA NA mz
0.083 1.096 NA 1.299 mz
0.915 0.203 NA NA mz
-1.112 -1.258 NA NA mz
-0.092 0.266 0.261 -0.042 mz
0.429 0.527 NA NA mz
-0.559 -0.185 -0.561 0.367 mz
NA 1.175 NA NA mz
-0.259 -0.689 NA NA mz
NA -1.701 NA NA mz
-0.007 -0.449 NA NA mz
0.052 0.387 -0.639 -0.066 mz
0.781 0.856 NA -0.468 mz
-1.41 NA NA NA mz
1.296 0.905 NA NA mz
-1.271 0.154 -1.175 -0.336 mz
-1.43 -1.413 NA NA mz
-0.154 0.324 -0.193 NA mz
-0.268 -0.875 1.318 NA mz
-0.3 NA NA NA mz
0.815 0.738 NA NA mz
0.683 1.024 1.111 0.344 mz
0.128 1.068 NA NA mz
0.671 1.719 0.069 -0.025 mz
-0.833 -0.624 NA NA mz
-1.176 -0.715 NA -0.352 mz
-0.038 0.888 NA NA mz
-0.882 -1.262 NA NA mz
0.312 0.921 -0.807 0.269 mz
-1.091 -1.661 -0.543 -0.443 mz
NA 1.811 NA 1.624 mz
0.306 -0.192 -0.684 -0.887 mz
-0.812 -1.416 -0.571 0.158 mz
-2.851 -1.996 0.823 -1.057 mz
-0.663 0.339 NA NA mz
2.708 2.561 1.82 2.884 mz
0.455 0.665 0.086 0.25 mz
0.934 0.02 NA 0.662 mz
-0.23 0.424 NA NA mz
0.223 0.744 NA NA mz
1.64 1.896 NA 0.79 mz
-0.652 -0.285 0.6 NA mz
1.079 -0.922 0.472 0.741 mz
-1.669 -0.759 -0.151 0.049 mz
0.058 1.871 0.805 -0.061 mz
1.853 1.145 NA NA mz
0.537 1.444 0.856 -0.986 mz
-0.241 0.524 -1.329 0.417 mz
NA -1.134 NA NA mz
1.087 0.756 -0.212 NA mz
-0.038 -0.187 -1.35 -0.916 mz
0.832 0.119 -0.631 -0.09 mz
0.571 0.913 NA 0.648 mz
0.423 1.088 -0.47 -0.089 mz
0.909 1.74 NA 1.387 mz
1.596 1.627 NA NA mz
NA 0.922 NA NA mz
0.389 -0.36 NA NA mz
0.459 0.04 0.874 -1.635 mz
-0.512 -1.488 NA NA mz
-0.695 -0.525 NA NA mz
1.033 -0.423 0.08 0.158 mz
-1.274 -0.45 NA NA mz
0.761 NA NA NA mz
-1.959 -0.986 -0.753 NA mz
-2.07 -1.284 0.61 -0.013 mz
-0.634 0.049 NA -0.182 mz
-0.131 -0.194 -0.476 NA mz
0.57 1.021 0.481 0.908 mz
3.216 2.154 NA 0.031 mz
-0.505 0.068 NA NA mz
-1.246 -0.787 NA NA mz
-0.252 -0.518 NA NA mz
-0.865 NA NA NA mz
0.133 -0.431 -0.821 -0.137 mz
0.495 0.045 1.695 -0.785 mz
-1.412 -1.09 NA NA mz
NA -0.449 NA NA mz
-1.557 -0.641 NA NA mz
0.153 -1.812 NA 0.988 mz
-0.259 -0.27 -0.158 -0.865 mz
-2.42 -1.015 -1.944 -0.259 mz
0.926 1.245 NA NA mz
0.174 0.301 NA NA mz
-0.832 -0.582 NA NA mz
-0.59 0.811 -0.136 0.706 mz
1.763 1.254 NA 1.265 mz
0.433 0.699 NA NA mz
-1.093 -0.651 NA NA mz
-0.69 0.49 NA NA mz
0.773 NA NA NA mz
-1.543 -1.927 -1.169 -0.504 mz
1.154 NA NA NA mz
-0.464 0.222 -0.317 -1.361 mz
-0.949 0.043 0.261 0.064 mz
-0.028 -1.145 -0.126 -1.594 mz
-0.49 -0.707 -0.764 -2.042 mz
-0.584 -0.659 NA -0.137 mz
0.827 0.671 NA 2.226 mz
-0.633 0.15 -2.09 1.303 mz
-0.299 -0.097 NA -1.55 mz
0.111 -1.04 0.619 -0.353 mz
-0.84 NA NA -2.039 mz
-1.259 -1.667 -0.948 NA mz
0.215 0.372 0.369 -0.322 mz
0.002 0.271 -0.787 -0.326 mz
-2.694 -1.518 -1.358 -0.504 mz
3.208 2.89 1.929 -0.166 mz
-1.143 -0.684 -0.525 -0.848 mz
-0.133 0.424 0.287 0.351 mz
-1.435 -1.043 NA NA mz
0.149 NA NA NA mz
NA 0.345 NA NA mz
-0.814 -0.121 0.802 NA mz
-1.664 -1.895 -0.039 NA mz
1.312 1.645 -0.331 0.119 mz
-0.029 0.379 NA NA mz
-0.734 -0.955 0.165 -0.192 mz
-1.295 -0.975 0.279 -0.523 mz
0.538 1.065 -1.64 NA mz
-0.011 -0.217 NA NA mz
-0.705 -0.628 0.229 -0.255 mz
0.692 0.45 0.172 1.288 mz
-0.108 0.52 0.145 NA mz
0.966 1.283 -0.27 0.186 mz
NA -0.5 NA -0.308 mz
-0.022 -0.471 NA NA mz
-0.521 -0.061 NA NA mz
0.339 -0.24 NA NA mz
1.289 0.272 NA NA mz
NA -0.947 NA NA mz
-1.299 -1.983 0.573 0.74 mz
1.707 NA NA NA mz
NA -1.607 NA NA mz
1.248 NA NA NA mz
-0.386 -1.195 0.924 -0.149 mz
1.029 1.489 0.588 0.422 mz
-0.029 NA NA NA mz
-1.313 -0.309 NA NA mz
0.147 -0.076 NA NA mz
0.261 1.216 NA 0.742 mz
-1.389 -1.727 NA -0.459 mz
-0.223 -0.315 NA NA mz
-0.114 0.089 1.205 -0.628 mz
2.161 1.681 NA 0.231 mz
0.048 -0.523 -0.404 -1.206 mz
0.584 -0.231 NA 0.837 mz
-0.757 -1.591 -1.44 NA mz
-0.525 0.893 0.793 NA mz
-1.34 -0.973 NA NA mz
1.276 2.096 -1.333 NA mz
0.2 0.643 -0.067 -0.308 mz
0.489 -0.017 NA NA mz
-1.248 0.268 NA -0.467 mz
0.875 0.227 NA -1.138 mz
-0.305 0.394 -1.309 -0.443 mz
-1.473 -2.087 -1.456 -0.741 mz
-1.074 -1.169 NA NA mz
-0.996 -0.858 NA NA mz
0.858 NA NA NA mz
-0.801 0.837 -0.452 1.373 mz
0.721 -0.089 NA NA mz
NA 1.411 NA NA mz
1.183 -0.005 NA NA mz
0.719 0.707 -0.733 -1.47 mz
0.027 1.009 0.178 0.761 mz
-0.653 -0.256 0.539 -0.939 mz
1.546 0.667 -1.04 1.173 mz
-0.42 -0.168 NA NA mz
-0.909 1.003 NA NA mz
0.918 1.49 0.605 NA mz
1.719 0.934 1.827 0.792 mz
0.185 -0.734 NA NA mz
0.131 0.433 NA NA mz
NA 0.092 NA NA mz
-0.841 -1.452 NA NA mz
1.738 1.209 NA -2.083 mz
-0.54 -0.737 NA NA mz
-0.182 0.352 -0.683 -0.992 mz
NA -0.254 NA NA mz
-0.122 0.606 1.373 -1.689 mz
0.125 0.126 NA NA mz
0.43 1.941 NA NA mz
-0.746 NA NA NA mz
-0.068 0.045 1.041 1.963 mz
0.332 -0.416 -0.042 2.305 dz
-0.352 -0.505 NA NA dz
-1.362 -1.785 -1.075 -1.64 dz
-0.505 0.223 -0.556 -1.125 dz
-0.336 0.202 -0.491 0.533 dz
-0.229 0.392 0.179 -0.194 dz
2.376 -0.218 -0.51 0.849 dz
-0.25 1.715 NA NA dz
0.563 0.293 1.064 1.34 dz
-1.6 -1.249 NA -1.583 dz
-0.666 0.101 NA NA dz
0.485 1.078 NA 2.002 dz
0.163 NA NA NA dz
0.419 0.662 NA NA dz
-0.443 -0.565 NA NA dz
-0.709 -1.758 -2.424 -1.552 dz
-0.434 -0.506 -0.505 -0.849 dz
0.197 1.446 NA NA dz
-0.403 -0.666 NA NA dz
-0.221 -0.278 NA -0.57 dz
NA 1.437 NA NA dz
0.319 0.136 NA NA dz
1.069 -1.114 -1.154 -0.312 dz
-0.53 NA NA NA dz
-1.266 -1.084 -1.175 -0.374 dz
1.003 -0.855 -1.329 -1.293 dz
0.137 -0.374 NA -0.178 dz
0.654 0.531 NA NA dz
1.24 0.377 NA NA dz
0.659 -1.087 NA 1.881 dz
0.253 0.697 NA NA dz
-0.13 0.611 1.05 0.285 dz
1.345 1.165 NA NA dz
1.488 1.789 0.633 0.639 dz
0.196 -0.592 NA -0.837 dz
-1.267 -2.107 0.637 -0.176 dz
1.899 1.348 NA NA dz
-0.754 -1.02 NA NA dz
0.833 0.97 -0.923 1.361 dz
0.175 0.244 -1.112 1.621 dz
-0.779 -1.526 NA -0.273 dz
-0.467 -1.147 0.458 0.974 dz
0.733 0.798 -1.058 -0.303 dz
-0.665 -0.12 -0.636 0.823 dz
-0.62 -0.501 -0.117 1.933 dz
-1.409 NA NA NA dz
0.255 1.033 NA NA dz
-0.742 -0.122 -0.492 NA dz
-0.949 -1.42 NA NA dz
-0.677 -1.518 NA 0.912 dz
-0.431 0.033 NA 0.248 dz
-1.68 -0.312 0.067 NA dz
1.271 0.317 2.318 -0.365 dz
-0.591 -0.133 -0.95 -0.836 dz
-0.756 -1.963 NA NA dz
-0.667 -0.431 -0.295 -0.54 dz
NA 1.171 NA NA dz
0.434 NA NA NA dz
-0.229 -0.103 0.408 -0.818 dz
0.674 0.366 NA 1.316 dz
2.312 0.852 NA NA dz
0.299 2.602 2.108 NA dz
0.163 -1.009 NA NA dz
-0.697 0.955 NA -0.606 dz
-2.28 -0.328 0.456 0.909 dz
-0.201 1.774 NA NA dz
2.919 0.658 NA NA dz
-0.534 -0.114 -0.115 -1.013 dz
NA 0.308 NA NA dz
1.721 1.145 2.506 1.782 dz
0.055 -0.187 0.676 -0.34 dz
-1.115 -2.739 -0.542 -1.793 dz
0.581 NA NA NA dz
NA 2.015 NA NA dz
0.698 0.932 2.261 0.543 dz
0.442 0.438 -0.512 1.126 dz
0.89 0.266 0.042 0.418 dz
-0.558 -0.528 -0.077 -1.106 dz
-1.309 0.372 -1.243 1.078 dz
-0.132 0.806 NA NA dz
0.126 1.192 NA NA dz
-0.263 -0.923 0.502 0.187 dz
0.827 1.486 -0.193 0.418 dz
0.83 -0.766 NA NA dz
1.323 1.049 NA NA dz
1.062 0.062 -0.021 -0.406 dz
-1.021 -0.49 NA -1.166 dz
-0.313 NA NA NA dz
-0.629 0.594 NA NA dz
-1 -1.047 -0.957 -1.246 dz
-1.065 0.907 NA 1.151 dz
-0.277 -0.826 -1.036 -0.263 dz
-2.282 0.004 NA NA dz
1.242 0.505 NA NA dz
0.829 1.211 NA NA dz
-0.14 -0.212 -0.692 -1.378 dz
-0.64 -0.14 -0.072 -0.475 dz
-0.372 -0.043 -1.753 -1.675 dz
-0.624 0.245 NA NA dz
0.457 -1.485 NA 0.488 dz
1.495 -0.722 NA NA dz
0.324 0.652 NA -0.702 dz
0.057 0.076 NA 0.768 dz
-0.034 -0.171 NA 0.29 dz
0.981 0.099 NA NA dz
0.204 1.262 -0.013 0.852 dz
-0.994 -0.439 -1.366 -0.614 dz
-1.436 -0.36 NA NA dz
0.233 -1.481 1.134 0.835 dz
0.327 -0.334 0.495 1.242 dz
-0.327 -0.175 NA NA dz
-0.153 -0.114 1.675 -2.118 dz
NA 0.674 NA NA dz
1.111 0.344 NA NA dz
0.778 -0.683 0.929 0.601 dz
0.461 -0.762 NA -0.613 dz
-0.213 NA NA NA dz
0.63 0.493 2.237 -0.439 dz
-1.921 -1.866 -1.305 -1.024 dz
1.941 1.061 NA NA dz
NA -0.979 NA NA dz
-0.603 NA NA NA dz
-1.283 0.015 -1.188 1.156 dz
NA -0.786 NA NA dz
-0.681 -0.409 NA NA dz
0.396 -2.077 NA NA dz
-0.359 0.532 -0.798 -0.239 dz
0.775 -0.031 0.473 0.77 dz
-0.326 1.013 0.878 0.524 dz
0.437 -0.016 0.167 0.705 dz
0.874 0.359 0.936 -1.518 dz
1.238 0.999 -1.361 0.487 dz
0.249 -1.061 NA NA dz
1.571 2.006 0.976 0.033 dz
-0.324 -1.815 -1.529 -1.18 dz
-0.578 1.874 NA NA dz
-0.38 -0.307 0.725 -0.8 dz
1.058 2.03 NA NA dz
-0.559 NA NA NA dz
0.792 0.57 1.067 1.823 dz
0.252 0.004 -0.442 -1.133 dz
0.296 0.515 1.134 2.044 dz
0.119 -0.382 1.868 0.103 dz
-1.143 -0.603 NA NA dz
-1.45 -0.488 -1.009 -0.316 dz
NA 1.395 NA NA dz
0.318 -0.071 NA NA dz
0.543 1.274 -0.535 -0.285 dz
-2.904 0.709 NA NA dz
-0.779 -1.089 -0.178 -0.079 dz
-0.331 -0.585 0.257 -0.34 dz
0.386 NA NA NA dz
0.396 0.484 NA -0.299 dz
-1.426 0.941 0.265 0.312 dz
0.547 2.152 0.705 -0.995 dz
1.011 -1.19 0.175 -0.958 dz
0.1 -0.321 -0.595 NA dz
NA -0.075 NA NA dz
-0.877 -0.892 -1.757 -1.181 dz
-0.605 -0.14 -0.694 0.009 dz
-0.215 -0.039 0.158 0.344 dz
1.243 0.132 1.089 NA dz
NA 0.147 NA NA dz
-1.137 -0.245 -1.442 -0.297 dz
0.491 0.842 -0.91 0.424 dz
-0.724 NA NA NA dz
0.414 -0.005 NA NA dz
-1.705 -0.458 NA NA dz
-0.841 0.595 NA 0.463 dz
-1.823 -1.938 NA NA dz
NA 0.318 NA NA dz
-1.79 -0.175 -0.495 -0.798 dz
-0.448 -0.927 0.797 -0.407 dz
1.364 -0.444 0.135 1.695 dz
-1.836 -0.284 -2.104 NA dz
-0.816 -0.056 -1.112 0.444 dz
-0.937 0.712 NA NA dz
1.683 2.713 NA NA dz
0.247 -0.393 NA 0.665 dz
NA 1.264 NA NA dz
0.193 -1.564 0.048 -0.223 dz
-0.16 -0.517 NA NA dz
-0.237 -1.427 -0.596 -0.896 dz
0.084 -0.222 0.511 0.071 dz
0.309 NA NA NA dz
1.417 2.499 NA NA dz
-0.016 0.138 -0.046 0.339 dz
NA 0.96 NA NA dz
-0.385 0.303 NA NA dz
-1.253 -0.577 -1.299 -1.312 dz
0.552 0.539 0.596 0.019 dz
-0.286 -0.633 NA NA dz
-1.935 -1.297 NA NA dz
-1.289 1.173 NA NA dz
-1.516 -0.155 NA 0.779 dz
0.745 1.008 NA -0.975 dz
-0.66 0.974 NA -0.4 dz
0.492 0.007 NA NA dz
0.546 1.681 NA NA dz
-0.852 -0.191 NA NA dz
1.558 1.516 -0.037 -1.166 dz
-1.864 0.198 NA NA dz
0.128 0.318 0.118 -0.469 dz
-0.329 -0.771 0.344 0.911 dz
-0.077 NA NA NA dz
1.419 -0.441 NA NA dz
-1.06 -0.861 0.496 -0.425 dz
-0.166 -0.966 -0.363 0.328 dz
1.8 1.266 NA NA dz
1.466 1.235 1.248 0.448 dz
0.936 0.676 2.384 1.074 dz
1.43 -0.397 NA -0.08 dz
0.713 0.896 0.196 -1.552 dz
-1.334 2.4 NA NA dz
-0.935 -1.825 -0.633 1.172 dz
0.286 0.673 NA NA dz
-0.746 -0.493 0.107 NA dz
-0.962 -0.535 NA NA dz
0.657 0.455 NA NA dz
-0.395 -1.638 NA NA dz
-0.764 0.319 -0.173 -1.203 dz
1.144 0.685 NA NA dz
0.978 0.424 NA NA dz
1.631 0.647 0.195 -0.267 dz
-0.321 -0.48 -1.598 -0.64 dz
0.172 0.423 1.243 NA dz
-0.784 -0.183 NA NA dz
0.504 0.52 0.441 -0.377 dz
1.52 1.655 0.148 -0.113 dz
0.841 0.604 NA 0.97 dz
1.003 -0.407 NA NA dz
-0.943 0.041 NA -1.178 dz
-0.44 -0.44 NA NA dz
-1.12 -1.02 NA NA dz
0.517 -0.243 NA 0.605 dz
-1.884 -1.671 NA NA dz
-0.282 -1.173 NA NA dz
1.758 NA NA NA dz
NA 1.844 NA NA dz
0.1 -0.483 NA NA dz
0.528 -0.013 2.466 -0.792 dz
-0.847 0.601 0.822 NA dz
-0.218 0.266 1.606 -0.986 dz
0.021 -0.441 -1.514 -0.332 dz
-2.196 -1.751 -1.624 NA dz
-1.145 -2.632 -1.195 -0.905 dz
-1.373 0.573 NA NA dz
-1.54 0.537 0.41 -0.608 dz
-0.375 -0.147 NA NA dz
-1.215 0.422 NA NA dz
0.472 -0.668 NA NA dz
-0.033 -0.539 NA NA dz
-0.154 -0.65 -0.807 -0.776 dz
-1.404 -0.652 NA NA dz
NA 1.789 NA NA dz
0.1 0.309 -1.512 -1.246 dz
0.398 0.743 NA NA dz
0.368 0.962 0.89 -0.29 dz
1.693 0.388 NA NA dz
0.49 NA NA NA dz
-0.594 -1.315 NA NA dz
-0.221 0.378 NA NA dz
0.09 -0.469 0.333 0.415 dz
1.102 1.087 NA NA dz
0.885 -0.017 -0.271 -1.146 dz
0.249 NA NA NA dz
-0.003 -0.828 -0.884 -0.952 dz
NA -0.915 NA NA dz
0.818 0.014 2.021 -0.537 dz
1.736 0.21 1.104 -0.5 dz
0.382 -0.349 -0.752 0.7 dz
-2.579 -1.219 0.014 -1.29 dz
-1.023 -0.616 -1.062 -0.704 dz
-0.299 -1.12 -0.036 0.684 dz
0.602 -0.736 0.669 -1.248 dz
0.614 0.878 NA NA dz
0.639 1.757 NA NA dz
-0.506 0.575 1.191 0.196 dz
-1.628 -0.93 NA 0.593 dz
0.94 0.675 -0.181 -0.257 dz
0.27 0.759 NA NA dz
-1.75 -0.581 -0.01 -0.592 dz
-1.711 -1.728 -0.727 0.592 dz
-0.817 0.589 0.346 2.033 dz
1.307 1.335 1.4 3.001 dz
-1.275 -1.126 NA NA dz
-1.45 NA NA NA dz
-0.566 -0.911 NA -0.734 dz
0.971 -0.257 0.219 NA dz
-1.842 -1.797 NA NA dz
NA -0.331 NA NA dz
1.914 1.034 NA NA dz
0.238 -1.076 NA NA dz
-1.611 -0.209 NA 0.392 dz
0.333 1.559 0.19 0.706 dz
1.096 -1.053 1.116 NA dz
-0.754 0.765 1.03 1.021 dz
NA -1.482 NA NA dz
NA -1.463 NA NA dz
0.76 NA NA NA dz
-0.865 -0.579 NA NA dz
-0.068 -0.311 1.344 -1.196 dz
-0.304 0.07 0.535 -0.207 dz
0.6 -0.684 NA NA dz
-1.688 -0.642 NA NA dz
-0.985 0.602 -1.198 -0.576 dz
-0.256 -0.435 0.312 -1.459 dz
0.705 -0.646 1.774 1.323 dz
-0.688 -1.22 NA NA dz
-1.58 0.038 0.089 0.074 dz
0.129 NA NA NA dz
1.336 1.351 0.113 -0.717 dz
0.905 0.786 NA NA dz
-1.154 0.56 NA 0.091 dz
0.648 0.699 1.028 -0.638 dz
1.002 3.173 -0.401 NA dz
0.463 0.635 -0.847 1.613 dz
0.736 1.588 NA NA dz
-0.71 -1.836 NA -2.004 dz
0.875 -0.6 NA NA dz
-1.375 -0.379 -0.058 -0.285 dz
NA 1.788 NA NA dz
-0.823 0.941 -0.189 -0.237 dz
-1.143 0.417 NA -0.42 dz
-0.556 0.484 NA -0.467 dz
1.296 0.16 1.322 0.246 dz
-0.006 -0.965 0.019 1.045 dz
-1.568 NA NA NA dz
-0.249 -0.897 NA NA dz
0.738 1.649 0.171 -0.428 dz
1.434 -0.295 1.686 NA dz
0.217 0.871 0.97 -0.624 dz
-0.119 -1.201 NA 0 dz
-0.788 -0.894 NA NA dz
-0.01 NA NA NA dz
NA 2.07 NA NA dz
0.108 -0.052 NA NA dz
2.604 0.695 -1.13 NA dz
-0.45 NA NA NA dz
0.93 0.92 -1.758 -0.476 dz
-0.123 -1.456 -2.012 NA dz
0.894 -0.186 NA NA dz
-0.085 0.447 NA 1.054 dz
0.452 -0.79 2.992 -0.228 dz
1.377 0.07 0.559 0.491 dz
0.594 NA NA NA dz
-0.157 -2.184 0.487 -0.634 dz
-0.699 -0.734 -0.639 0.439 dz
-0.691 0.638 NA NA dz
-1.372 -1.876 NA 0.248 dz
-0.048 -1.017 NA NA dz
1.997 0.901 -0.321 0.187 dz
-0.633 0.541 0.809 1.677 dz
0.388 1.639 0.272 0.129 dz
-0.213 1.238 NA NA dz
-0.785 -0.477 -0.739 NA dz
1.104 -1.112 NA NA dz
0.634 0.429 NA 1.862 dz
2.033 -1.229 0.437 1.143 dz
1.307 NA NA NA dz
NA 0.148 NA NA dz
0.707 0.847 NA NA dz
NA 0.33 NA NA dz
NA 0.032 NA NA dz
-0.398 0.24 NA NA dz
NA -0.75 NA NA dz
-1.816 -0.911 NA NA dz
-1.099 0.691 -1.253 0.289 dz
-0.781 0.867 0.242 1.545 dz
-1.135 -0.959 0.163 -1.081 dz
-0.533 2.221 0.894 NA dz
0.601 1.081 NA NA dz
0.343 0.586 1.152 0.141 dz
-0.479 0.561 -0.565 0.033 dz
0.531 1.325 NA 1.052 dz
0.214 -0.075 NA 1.253 dz
NA -0.946 NA NA dz
1.217 0.591 NA NA dz
1.359 1.123 -0.27 0.15 dz
-1.008 NA NA NA dz
0.299 -0.616 0.32 -1.116 dz
0.415 0.453 NA 0.466 dz
0.891 1.013 -1.834 -0.915 dz
1.401 -0.141 NA NA dz
-0.719 1.528 -0.694 0.189 dz
0.874 1.968 NA 0.126 dz
0.137 1.167 NA NA dz
0.017 -0.32 -0.242 -0.817 dz
-0.496 -0.116 NA NA dz
0.739 0.762 NA NA dz
-1.52 0.008 NA NA dz
1.428 0.442 NA NA dz
NA 1.398 NA NA dz
-1.944 0.755 -0.406 NA dz
-1.5 -2.409 -0.756 1.204 dz
0.057 -3.513 -0.954 -0.187 dz
-0.631 -0.33 NA -0.521 dz
-0.435 0.769 NA NA dz
0.597 1.42 1.329 0.573 dz
1.938 1.211 NA -0.052 dz
-0.587 -1.434 NA NA dz
-1.128 -1.973 -0.088 -0.572 dz
0.779 0.046 NA NA dz
-0.146 0.043 -2 NA dz
-0.651 -1.441 -2.235 -0.68 dz
0.758 1.221 NA NA dz
0.311 0.157 NA NA dz
-0.803 -0.474 NA NA dz
0.452 0.133 -0.008 -1.666 dz
1.438 0.449 NA NA dz
-0.623 -0.759 NA NA dz
0.333 NA NA NA dz
-1.42 -0.961 NA NA dz
1.751 NA NA NA dz
1.158 0.56 1.016 2.377 dz
-0.688 -0.559 NA -1.286 dz
0.963 0.405 NA NA dz
1.878 1.995 0.469 -0.574 dz
0.972 1.179 0.347 0.324 dz
-2.331 -0.214 NA NA dz
2.627 1.143 NA 1.568 dz
-0.681 -0.905 NA NA dz
-2.134 NA NA NA dz
0.279 2.925 NA NA dz
0.625 -0.518 NA NA dz
-0.794 0.148 -1.221 0.156 dz
-0.468 0.784 0.145 0.119 dz
0.817 0.2 NA NA dz
-1.739 -0.645 NA NA dz
-1.121 -0.826 -0.748 1.401 dz
-0.252 0.423 NA NA dz
0.502 -0.386 -0.021 0.404 dz
-1.061 -1.168 NA NA dz
-0.324 0.611 -0.563 -1.782 dz
0.131 -0.104 NA -0.898 dz
NA -0.441 NA NA dz
-0.558 -1.079 -1.487 -2.327 dz
-0.445 0.798 NA NA dz
-1.559 -0.752 -0.125 NA dz
1.239 1.57 0.181 1.254 dz
-0.823 -0.261 0.673 1.688 dz
1.887 0.359 1.129 0.457 dz
0.084 -0.121 NA NA dz
-1.942 -0.713 -1.156 0.019 dz
-0.091 0.732 1.177 -0.301 dz
-0.448 -0.467 NA NA dz
-0.534 0.524 NA NA dz
-0.256 2.035 -0.843 NA dz
0.343 NA NA NA dz
0.07 0.567 0.779 -0.695 dz
0.351 2.21 NA NA dz
0.141 -0.408 0.654 -0.488 dz
0.453 0.835 0.661 NA dz
-0.646 -0.648 -0.139 0.771 dz
-1.279 -0.081 NA NA dz
-0.004 0.362 NA NA dz
0.682 -0.368 1.062 -0.455 dz
1.379 1.754 NA 1.675 dz
-0.639 -1.319 NA NA dz
0.01 0.029 NA NA dz
-2.027 NA NA NA dz
-1.046 -0.274 0.159 -1.082 dz
1.911 -0.04 1.832 NA dz
-0.322 -0.615 NA NA dz
0.21 -0.001 NA NA dz
0.667 0.844 NA -0.411 dz
0.074 0.079 NA -0.436 dz
-3.289 -1.114 NA NA dz
-0.218 0.048 -0.985 NA dz
0.141 -0.368 -0.617 -0.696 dz
-0.899 0.092 NA NA dz
-1.373 -0.667 NA NA dz
1.067 0.975 NA NA dz
NA -1.626 NA NA dz
0.126 -0.544 NA -0.152 dz
0.769 -0.529 -0.962 -0.397 dz
-1.653 -0.416 -1.521 -0.873 dz
1.104 -0.743 1.115 0.604 dz
1.293 0.718 NA NA dz
0.866 -1.162 -1.264 -0.163 dz
0.107 -1.048 -0.017 0.134 dz
0.327 0.67 NA 1.187 dz
0.813 0.628 0.722 1.96 dz
1.214 NA NA NA dz
-0.265 -0.368 -0.772 -0.914 dz
-0.655 -0.52 -1.323 -0.39 dz
