"id" "Gender" "grade" "agey" "agem" "school" "visual" "cubes" "paper" "flags" "general" "paragrap" "sentence" "wordc" "wordm" "addition" "code" "counting" "straight" "wordr" "numberr" "figurer" "object" "numberf" "figurew" "deduct" "numeric" "problemr" "series" "arithmet" "paperrev" "flagssub"
185 "Male" "8" 14 1 "Pasteur" 25 23 11 27 48 13 19 32 22 137 89 126 247 178 91 109 6 13 15 26 18 33 20 27 15 55
186 "Female" "8" 11 9 "Pasteur" 31 23 16 23 60 10 21 31 26 98 81 118 199 180 93 111 8 7 11 43 13 39 23 25 21 31
187 "Male" "8" 12 3 "Grant-White" 26 25 12 19 53 15 20 35 16 78 58 100 132 176 82 86 2 13 11 29 10 23 17 21 14 30
188 "Male" "8" 12 8 "Grant-White" 27 31 16 5 50 8 14 26 17 108 69 79 157 177 86 111 11 8 14 47 16 21 21 24 14 22
189 "Male" "8" 13 1 "Grant-White" 35 33 19 17 47 15 27 26 26 99 76 97 194 170 83 95 5 9 17 26 16 24 13 23 16 39
190 "Female" "8" 13 2 "Grant-White" 26 27 12 14 44 9 19 32 19 59 72 108 142 166 82 104 13 10 19 25 13 29 23 21 18 33
191 "Female" "8" 14 1 "Pasteur" 32 14 12 19 44 6 14 27 13 117 81 127 209 161 86 106 9 12 12 12 15 35 20 21 13 35
192 "Female" "8" 13 -1 "Pasteur" 42 26 13 26 49 12 21 27 18 138 93 149 248 183 89 107 17 15 21 45 15 35 26 28 14 38
193 "Female" "8" 11 10 "Pasteur" 19 13 11 11 21 7 13 24 5 102 48 88 147 182 88 93 10 8 5 14 21 6 13 28 14 33
194 "Male" "8" 13 3 "Grant-White" 21 25 14 1 38 6 15 22 11 51 56 92 173 187 88 100 7 1 14 20 13 27 15 29 17 21
195 "Male" "8" 13 1 "Pasteur" 34 23 18 33 52 13 18 33 21 108 82 129 169 169 96 107 4 14 17 36 18 37 26 27 19 36
196 "Female" "8" 11 5 "Pasteur" 28 31 12 16 36 12 16 27 17 73 84 103 140 194 101 117 18 18 17 31 13 46 14 24 18 40
197 "Male" "8" 12 7 "Grant-White" 36 31 15 4 47 11 13 16 13 86 55 94 197 161 93 109 4 1 7 42 16 29 26 25 15 33
198 "Female" "8" 14 4 "Pasteur" 12 22 8 14 24 0 6 15 3 93 71 107 196 167 100 91 11 10 14 -20 6 9 2 19 14 17
199 "Male" "7" 13 4 "Grant-White" 21 20 10 12 37 5 11 19 16 61 31 68 106 162 85 108 -2 4 10 18 10 22 10 21 12 26
200 "Female" "8" 12 10 "Grant-White" 27 22 14 22 40 12 20 23 16 108 58 126 210 180 84 101 13 8 13 8 14 27 14 27 14 48
201 "Male" "8" 14 12 "Grant-White" 34 33 17 32 55 12 24 33 25 72 72 125 180 171 93 109 4 8 10 49 17 37 21 34 19 53
202 "Male" "8" 12 10 "Grant-White" 25 26 12 20 40 10 21 31 18 97 64 99 218 172 96 96 7 12 13 9 16 26 15 26 15 32
203 "Male" "8" 13 2 "Grant-White" 16 20 10 6 37 11 16 24 13 113 68 95 204 198 92 102 5 4 12 5 16 16 4 27 9 32
204 "Male" "8" 14 4 "Grant-White" 37 16 17 18 54 11 20 32 23 178 120 182 281 175 90 103 12 13 18 68 24 45 31 40 15 44
205 "Male" "8" 14 6 "Pasteur" 45 33 17 30 43 9 15 30 27 87 81 125 232 180 101 121 16 15 20 70 20 39 32 25 20 43
206 "Female" "7" 13 3 "Pasteur" 38 18 17 15 34 12 16 29 15 126 77 138 225 186 103 106 14 12 16 20 15 19 24 27 20 34
207 "Male" "8" 14 5 "Pasteur" 16 22 12 10 50 8 21 24 15 84 37 114 190 175 93 92 6 9 2 57 14 27 20 21 16 40
208 "Female" "8" 14 2 "Grant-White" 23 16 16 11 35 9 11 18 9 48 79 96 202 181 80 114 6 5 12 7 11 21 2 20 14 38
209 "Female" "8" 14 1 "Grant-White" 24 22 14 4 33 4 11 23 8 47 70 90 163 183 87 101 4 10 13 43 9 13 6 25 13 25
210 "Female" "7" 13 3 "Pasteur" 13 9 11 -12 29 3 14 12 2 85 61 93 163 158 81 78 9 2 6 2 4 12 -11 15 11 23
211 "Female" "8" 14 -4 "Grant-White" 31 24 15 14 42 9 16 25 17 72 70 89 168 168 95 108 6 12 18 30 10 35 15 26 17 25
212 "Male" "7" 13 4 "Pasteur" 28 19 19 13 24 8 8 13 1 85 48 106 138 173 95 101 10 5 13 28 17 23 8 19 19 45
213 "Female" "8" 11 9 "Grant-White" 20 28 12 13 49 14 21 36 24 115 61 89 160 172 81 89 13 8 20 58 16 24 29 31 21 33
214 "Female" "8" 15 -3 "Grant-White" 31 23 17 22 41 13 14 22 21 112 90 118 139 171 83 99 11 18 27 25 15 28 17 27 18 31
215 "Female" "8" 12 8 "Grant-White" 36 28 11 32 45 16 20 25 20 81 99 102 192 213 99 111 13 14 15 39 13 36 18 31 18 54
216 "Male" "8" 14 3 "Pasteur" 33 21 13 32 49 8 12 30 18 78 49 111 209 159 77 93 6 8 13 10 12 29 11 20 18 38
217 "Male" "8" 12 3 "Grant-White" 40 28 13 30 42 12 17 25 20 55 62 91 152 191 97 111 2 11 14 48 11 21 31 24 19 24
218 "Male" "8" 13 4 "Grant-White" 39 37 14 37 41 9 14 35 19 100 95 142 202 177 99 111 3 16 15 64 19 42 17 25 16 53
219 "Male" "8" 14 5 "Grant-White" 32 26 13 9 36 7 17 22 13 68 50 102 189 167 87 100 6 2 8 13 11 16 8 21 18 36
220 "Female" "7" 14 4 "Pasteur" 24 17 12 16 33 5 17 28 10 90 72 102 190 171 91 96 8 5 16 -3 9 11 7 22 13 11
221 "Male" "8" 13 6 "Grant-White" 21 19 12 9 36 12 15 20 10 99 73 104 168 175 89 102 10 14 9 15 10 9 3 19 10 33
222 "Male" "8" 13 6 "Grant-White" 36 31 15 30 44 13 15 28 11 112 85 137 227 177 115 107 10 19 19 31 17 16 25 25 13 30
223 "Male" "8" 14 4 "Grant-White" 13 24 8 0 40 10 17 24 13 34 51 86 105 162 91 96 4 3 7 -2 4 16 12 21 16 20
224 "Male" "8" 13 9 "Grant-White" 29 23 15 17 51 12 16 32 14 90 82 122 226 188 97 106 2 8 15 38 13 16 32 27 18 28
225 "Female" "8" 13 8 "Grant-White" 24 21 14 11 35 6 10 27 1 113 79 122 225 173 85 102 4 6 21 -17 13 25 9 26 21 23
226 "Female" "8" 14 3 "Grant-White" 19 31 13 12 25 7 13 26 13 80 54 96 194 157 77 110 1 -1 12 16 9 25 8 17 19 37
227 "Female" "8" 12 4 "Grant-White" 28 21 10 14 33 10 16 31 9 124 92 142 237 192 106 93 16 15 17 48 14 34 26 23 16 28
228 "Male" "8" 13 4 "Grant-White" 25 34 16 16 30 10 12 28 17 92 49 107 202 166 85 100 2 3 11 32 14 33 26 19 20 36
229 "Male" "8" 12 6 "Grant-White" 23 20 9 4 38 7 15 15 8 123 65 88 107 167 75 83 8 9 11 19 5 11 4 28 9 19
230 "Male" "7" 14 4 "Pasteur" 9 18 11 20 29 4 11 14 3 78 61 88 142 175 86 87 5 4 13 18 11 14 14 15 12 18
231 "Male" "8" 15 4 "Grant-White" 36 26 14 19 40 5 12 25 11 100 47 118 224 156 90 106 7 11 19 19 16 30 21 27 16 42
232 "Female" "8" 13 -7 "Grant-White" 23 22 11 13 44 12 20 27 26 97 48 119 148 177 90 124 8 11 16 67 15 35 27 31 14 41
233 "Male" "8" 12 7 "Grant-White" 38 26 15 19 53 12 22 32 11 84 68 94 186 180 94 97 -6 15 22 33 12 29 22 24 20 29
234 "Female" "8" 13 5 "Grant-White" 43 33 18 33 56 17 25 42 32 131 93 128 223 191 87 112 7 1 22 41 23 42 37 34 20 49
235 "Male" "8" 12 4 "Grant-White" 11 21 12 7 22 1 12 25 11 53 27 91 148 177 90 89 11 8 16 23 3 20 13 23 18 39
236 "Male" "8" 12 2 "Grant-White" 32 19 13 11 33 5 16 24 3 109 68 115 207 183 91 116 0 3 7 1 16 28 13 28 13 30
237 "Female" "8" 12 11 "Grant-White" 25 25 10 12 43 14 19 35 18 103 65 122 188 181 82 97 6 10 20 56 18 21 19 25 16 30
238 "Male" "7" 12 4 "Grant-White" 16 21 13 21 30 5 13 19 14 64 53 90 164 169 88 83 3 2 8 9 7 23 6 19 12 34
239 "Female" "8" 12 2 "Grant-White" 18 24 15 12 52 12 19 30 29 140 58 130 152 187 92 112 15 5 13 36 15 25 28 30 13 45
240 "Female" "8" 12 6 "Grant-White" 33 22 13 14 48 11 22 30 21 142 86 96 228 192 89 109 18 12 22 26 17 44 41 33 17 37
241 "Female" "7" 13 3 "Pasteur" 21 21 14 12 22 9 13 21 10 104 52 83 193 172 84 94 12 3 12 7 16 21 3 17 10 35
242 "Female" "8" 11 7 "Grant-White" 29 21 12 24 35 12 20 27 8 85 69 123 202 174 95 108 3 9 18 34 19 32 25 27 17 42
243 "Female" "7" 12 7 "Pasteur" 19 23 10 14 29 10 17 17 17 69 33 82 133 167 77 96 1 -4 7 5 11 14 13 19 12 26
244 "Male" "8" 12 10 "Grant-White" 30 26 16 18 62 8 23 33 22 73 73 122 179 174 86 89 -2 6 16 36 17 30 27 26 17 37
245 "Female" "7" 11 15 "Grant-White" 34 23 14 11 23 6 10 20 8 93 66 120 169 196 89 103 15 12 17 15 12 33 16 29 12 33
246 "Female" "7" 10 9 "Pasteur" 17 23 13 6 43 7 18 24 9 115 81 107 198 163 71 93 2 4 14 31 19 21 20 25 12 28
247 "Male" "8" 13 5 "Pasteur" 29 16 17 30 33 10 16 26 14 116 67 151 198 192 96 114 17 6 16 47 19 17 19 27 16 47
248 "Female" "8" 13 5 "Grant-White" 35 38 18 35 62 14 28 32 27 80 71 118 192 197 93 109 17 13 17 34 13 44 30 17 20 45
249 "Female" "7" 13 8 "Pasteur" 22 17 12 3 26 10 20 20 17 130 69 121 181 167 105 101 17 13 15 33 13 25 24 23 14 40
250 "Male" "8" 14 2 "Grant-White" 27 30 13 8 34 8 13 23 11 107 74 129 198 168 82 95 0 10 16 39 15 39 24 20 14 33
251 "Male" "8" 13 8 "Grant-White" 23 24 10 13 29 6 11 15 12 75 64 99 178 172 92 97 0 0 14 13 16 34 10 23 13 26
252 "Female" "8" 14 5 "Grant-White" 22 25 15 -2 45 12 18 23 15 134 51 127 154 181 93 92 9 9 10 10 16 7 22 29 18 30
253 "Female" "8" 13 8 "Pasteur" 38 28 16 22 36 9 21 25 13 118 98 109 210 203 107 109 16 10 17 51 15 34 23 28 18 50
254 "Male" "8" 11 9 "Grant-White" 21 24 9 10 36 10 15 22 14 65 23 91 123 172 70 89 4 2 11 20 7 22 27 20 16 29
255 "Female" "8" 12 9 "Pasteur" 39 25 16 37 52 10 18 31 22 146 75 174 244 196 98 113 15 14 17 56 28 38 49 27 20 42
256 "Male" "8" 11 6 "Pasteur" 35 23 14 30 49 9 14 29 9 75 29 88 121 168 84 100 -7 1 6 44 14 20 21 15 13 43
257 "Male" "8" 14 9 "Grant-White" 28 22 18 18 34 6 16 26 14 107 67 100 228 183 90 105 13 4 18 47 16 23 18 32 19 44
258 "Male" "8" 13 3 "Grant-White" 32 27 18 25 51 9 24 34 20 107 67 117 230 191 96 103 7 13 18 31 17 38 24 31 18 39
259 "Female" "8" 13 5 "Grant-White" 28 22 11 5 47 11 16 30 18 102 59 120 205 190 98 104 8 7 16 15 13 18 10 27 14 27
260 "Female" "7" 11 8 "Pasteur" 40 22 11 14 48 20 29 34 37 60 71 102 208 155 82 99 4 11 13 48 12 30 20 29 14 38
261 "Female" "8" 13 5 "Pasteur" 24 18 15 19 33 8 16 21 5 145 79 118 206 157 77 95 4 12 12 21 13 22 2 22 12 37
262 "Female" "8" 14 3 "Grant-White" 23 24 16 8 27 6 8 17 0 47 31 86 163 176 86 86 -1 1 12 23 8 5 3 21 18 29
263 "Female" "7" 15 5 "Pasteur" 33 16 17 22 33 10 17 25 7 74 65 108 222 162 91 87 1 2 14 37 11 22 12 16 14 41
264 "Male" "8" 15 3 "Grant-White" 39 22 21 22 41 13 20 29 20 95 49 87 198 156 93 112 10 9 13 20 12 28 26 26 15 39
265 "Female" "8" 12 6 "Pasteur" 24 22 17 32 17 6 11 20 4 98 64 98 137 184 102 110 5 6 15 19 11 26 8 23 15 27
266 "Female" "8" 13 9 "Pasteur" 37 16 14 18 49 15 26 29 28 87 95 85 171 163 91 97 7 8 15 41 19 32 16 25 14 35
267 "Male" "8" 12 9 "Pasteur" 22 34 12 11 44 8 16 23 10 100 57 114 197 169 88 102 10 6 13 31 19 25 14 19 14 25
268 "Female" "8" 13 12 "Pasteur" 34 25 16 24 31 7 13 25 10 131 68 148 236 189 110 128 18 22 21 45 20 31 39 34 20 38
269 "Female" "7" 13 8 "Pasteur" 35 32 13 29 36 9 21 33 20 55 76 123 247 164 94 110 2 8 12 47 17 37 30 24 17 46
270 "Male" "8" 15 8 "Grant-White" 8 15 14 6 27 1 10 18 2 100 51 99 200 173 95 94 6 15 11 -2 10 13 8 20 10 27
271 "Female" "8" 12 6 "Grant-White" 35 25 9 15 43 11 21 32 19 59 60 125 182 172 77 110 5 6 16 48 12 40 29 28 17 44
272 "Female" "8" 12 12 "Grant-White" 31 20 12 16 27 9 14 25 10 73 67 77 177 173 88 103 10 7 16 13 3 19 13 18 16 26
273 "Female" "8" 12 7 "Pasteur" 31 19 12 26 42 10 19 30 13 99 72 107 177 194 95 108 15 10 14 31 12 26 20 29 20 30
274 "Male" "8" 13 3 "Grant-White" 28 24 14 25 54 11 22 34 17 84 53 102 129 164 79 104 0 5 14 65 16 31 31 27 19 35
275 "Female" "8" 12 5 "Grant-White" 29 26 15 -2 39 8 19 24 16 46 69 133 203 175 83 96 7 8 17 26 10 20 12 24 19 32
276 "Male" "8" 13 6 "Grant-White" 39 25 17 28 56 8 24 35 18 78 60 97 170 173 90 117 9 9 17 47 20 41 28 24 18 45
277 "Male" "8" 11 6 "Grant-White" 41 22 15 24 55 15 21 28 16 98 79 128 211 178 92 108 0 14 7 39 15 39 27 30 23 38
278 "Male" "8" 15 5 "Grant-White" 19 32 18 2 41 8 23 31 14 100 63 129 172 165 90 102 2 13 19 72 20 24 7 26 14 47
279 "Female" "7" 12 6 "Pasteur" 29 18 13 22 34 11 16 17 15 128 88 108 217 178 86 89 21 12 15 6 11 34 11 22 12 24
280 "Female" "8" 11 12 "Grant-White" 24 20 14 8 46 11 20 25 16 102 64 98 170 165 90 100 4 2 18 13 17 24 27 22 15 21
281 "Female" "8" 13 15 "Grant-White" 27 29 19 22 72 15 24 33 31 133 75 125 186 175 78 99 11 9 22 29 25 39 36 29 22 26
282 "Male" "8" 13 7 "Grant-White" 35 26 19 17 38 12 18 22 18 100 74 122 190 198 96 117 9 17 13 47 16 37 23 31 17 42
283 "Male" "8" 13 5 "Pasteur" 24 20 11 4 30 4 16 20 8 71 47 96 119 181 103 94 10 12 22 60 13 28 16 22 16 14
284 "Male" "8" 14 4 "Pasteur" 29 29 15 24 25 7 16 30 10 70 69 128 196 189 95 106 7 12 13 40 25 27 13 28 18 32
285 "Male" "8" 15 2 "Grant-White" 26 19 18 6 41 10 13 25 14 124 78 118 180 182 87 92 9 13 10 37 15 25 12 26 15 37
286 "Male" "8" 14 5 "Pasteur" 28 20 17 21 26 5 15 25 20 106 71 146 198 154 84 100 11 5 7 14 16 19 18 22 14 47
287 "Female" "8" 15 -3 "Pasteur" 28 24 18 27 51 12 23 35 21 135 93 136 195 176 71 99 14 10 16 21 18 24 6 27 15 38
288 "Female" "8" 12 4 "Grant-White" 22 23 12 17 48 16 26 31 28 75 63 96 177 175 93 104 9 3 17 33 15 27 27 23 14 33
289 "Male" "8" 14 8 "Pasteur" 39 29 15 31 46 9 18 31 18 112 82 135 230 172 94 101 9 12 17 71 21 33 18 26 20 50
290 "Female" "7" 13 4 "Pasteur" 28 25 16 9 42 12 18 25 18 118 79 106 228 175 89 93 5 -1 9 -3 19 23 10 24 12 34
291 "Male" "8" 14 7 "Grant-White" 25 23 15 10 28 6 15 24 13 70 74 130 203 165 86 105 4 15 20 31 16 24 4 19 14 39
292 "Male" "8" 12 3 "Pasteur" 43 31 18 17 65 13 21 29 19 120 87 153 276 176 93 99 8 10 11 23 16 19 26 29 22 35
293 "Female" "7" 12 -1 "Pasteur" 21 33 10 18 26 11 19 25 20 80 63 99 136 184 82 99 9 10 9 1 9 12 17 17 12 25
294 "Female" "8" 14 4 "Pasteur" 42 23 13 7 59 12 25 28 19 126 78 126 182 170 81 103 2 10 10 45 15 27 22 36 15 36
295 "Female" "8" 12 -3 "Pasteur" 28 26 16 28 54 15 24 36 23 91 88 122 206 176 80 113 4 17 18 50 17 30 15 28 23 45
296 "Male" "8" 12 11 "Pasteur" 34 33 10 15 40 7 15 28 15 106 52 97 214 163 83 109 5 5 13 31 15 22 20 27 15 43
297 "Male" "8" 13 11 "Grant-White" 38 36 12 16 25 7 15 22 10 84 59 129 257 176 106 109 6 12 12 43 12 20 24 23 15 38
298 "Male" "8" 15 1 "Pasteur" 31 23 17 20 39 8 14 27 11 106 56 115 195 161 91 100 5 12 12 7 12 20 8 19 12 45
299 "Female" "8" 14 2 "Grant-White" 25 21 16 7 40 8 12 21 9 79 51 97 131 196 105 104 6 3 8 38 16 7 10 15 14 32
300 "Female" "8" 11 7 "Grant-White" 30 25 19 7 40 11 16 29 13 86 60 100 142 179 90 100 0 2 8 -3 10 26 16 21 7 26
301 "Male" "8" 12 9 "Grant-White" 26 22 12 14 36 4 13 26 8 60 56 66 177 174 101 104 5 14 16 39 14 7 13 31 16 37
